날짜,종가,오픈,고가,저가,변동 %
1970년 2월,7.24,7.24,7.24,7.24,-7.06%
1970년 3월,7.07,7.07,7.07,7.07,-2.35%
1970년 4월,7.39,7.39,7.39,7.39,4.53%
1970년 5월,7.91,7.91,7.91,7.91,7.04%
1970년 6월,7.84,7.84,7.84,7.84,-0.88%
1970년 7월,7.46,7.46,7.46,7.46,-4.85%
1970년 8월,7.53,7.53,7.53,7.53,0.94%
1970년 9월,7.39,7.39,7.39,7.39,-1.86%
1970년 10월,7.33,7.33,7.33,7.33,-0.81%
1970년 11월,6.84,6.84,6.84,6.84,-6.68%
1970년 12월,6.39,6.39,6.39,6.39,-6.58%
1971년 1월,6.24,6.24,6.24,6.24,-2.35%
1971년 2월,6.11,6.11,6.11,6.11,-2.08%
1971년 3월,5.7,5.7,5.7,5.7,-6.71%
1971년 4월,5.83,5.83,5.83,5.83,2.28%
1971년 5월,6.39,6.39,6.39,6.39,9.61%
1971년 6월,6.52,6.52,6.52,6.52,2.03%
1971년 7월,6.73,6.73,6.73,6.73,3.22%
1971년 8월,6.58,6.58,6.58,6.58,-2.23%
1971년 9월,6.14,6.14,6.14,6.14,-6.69%
1971년 10월,5.93,5.93,5.93,5.93,-3.42%
1971년 11월,5.81,5.81,5.81,5.81,-2.02%
1971년 12월,5.93,5.93,5.93,5.93,2.07%
1972년 1월,5.95,5.95,5.95,5.95,0.34%
1972년 2월,6.08,6.08,6.08,6.08,2.18%
1972년 3월,6.07,6.07,6.07,6.07,-0.16%
1972년 4월,6.19,6.19,6.19,6.19,1.98%
1972년 5월,6.13,6.13,6.13,6.13,-0.97%
1972년 6월,6.11,6.11,6.11,6.11,-0.33%
1972년 7월,6.11,6.11,6.11,6.11,0.00%
1972년 8월,6.21,6.21,6.21,6.21,1.64%
1972년 9월,6.55,6.55,6.55,6.55,5.48%
1972년 10월,6.48,6.48,6.48,6.48,-1.07%
1972년 11월,6.28,6.28,6.28,6.28,-3.09%
1972년 12월,6.36,6.36,6.36,6.36,1.27%
1973년 1월,6.46,6.46,6.46,6.46,1.57%
1973년 2월,6.64,6.64,6.64,6.64,2.79%
1973년 3월,6.71,6.71,6.71,6.71,1.05%
1973년 4월,6.67,6.67,6.67,6.67,-0.60%
1973년 5월,6.85,6.85,6.85,6.85,2.70%
1973년 6월,6.9,6.9,6.9,6.9,0.73%
1973년 7월,7.13,7.13,7.13,7.13,3.33%
1973년 8월,7.4,7.4,7.4,7.4,3.79%
1973년 9월,7.09,7.09,7.09,7.09,-4.19%
1973년 10월,6.79,6.79,6.79,6.79,-4.23%
1973년 11월,6.73,6.73,6.73,6.73,-0.88%
1973년 12월,6.74,6.74,6.74,6.74,0.15%
1974년 1월,6.99,6.99,6.99,6.99,3.71%
1974년 2월,6.96,6.96,6.96,6.96,-0.43%
1974년 3월,7.21,7.21,7.21,7.21,3.59%
1974년 4월,7.51,7.51,7.51,7.51,4.16%
1974년 5월,7.58,7.58,7.58,7.58,0.93%
1974년 6월,7.54,7.54,7.54,7.54,-0.53%
1974년 7월,7.81,7.81,7.81,7.81,3.58%
1974년 8월,8.04,8.04,8.04,8.04,2.94%
1974년 9월,8.04,8.04,8.04,8.04,0.00%
1974년 10월,7.9,7.9,7.9,7.9,-1.74%
1974년 11월,7.68,7.68,7.68,7.68,-2.78%
1974년 12월,7.43,7.43,7.43,7.43,-3.26%
1975년 1월,7.5,7.5,7.5,7.5,0.94%
1975년 2월,7.39,7.39,7.39,7.39,-1.47%
1975년 3월,7.73,7.73,7.73,7.73,4.60%
1975년 4월,8.23,8.23,8.23,8.23,6.47%
1975년 5월,8.06,8.06,8.06,8.06,-2.07%
