,code,code_name,smarket,kospi200
0,000020,동화약품,0,0
1,000030,우리은행,0,1
2,000040,KR모터스,0,0
3,000050,경방,0,0
4,000060,메리츠화재,0,0
5,000070,삼양홀딩스,0,1
6,000075,삼양홀딩스우,0,0
7,000080,하이트진로,0,1
8,000087,하이트진로2우B,0,0
9,000100,유한양행,0,1
10,000105,유한양행우,0,0
11,000120,CJ대한통운,0,1
12,000140,하이트진로홀딩스,0,0
13,000145,하이트진로홀딩스우,0,0
14,000150,두산,0,1
15,000155,두산우,0,0
16,000157,두산2우B,0,0
17,000180,성창기업지주,0,0
18,000210,대림산업,0,1
19,000215,대림산업우,0,0
20,000220,유유제약,0,0
21,000225,유유제약1우,0,0
22,000227,유유제약2우B,0,0
23,000230,일동홀딩스,0,0
24,000240,한국타이어월드와이드,0,1
25,000270,기아차,0,1
26,000300,대유플러스,0,0
27,000320,노루홀딩스,0,0
28,000325,노루홀딩스우,0,0
29,000370,한화손해보험,0,0
30,000390,삼화페인트,0,0
31,000400,롯데손해보험,0,0
32,000430,대원강업,0,0
33,000480,조선내화,0,0
34,000490,대동공업,0,0
35,000500,가온전선,0,0
36,000520,삼일제약,0,0
37,000540,흥국화재,0,0
38,000545,흥국화재우,0,0
39,000547,흥국화재2우B,0,0
40,000590,CS홀딩스,0,0
41,000640,동아쏘시오홀딩스,0,1
42,000650,천일고속,0,0
43,000660,SK하이닉스,0,1
44,000670,영풍,0,1
45,000680,LS네트웍스,0,0
46,000700,유수홀딩스,0,0
47,000720,현대건설,0,1
48,000725,현대건설우,0,0
49,000760,이화산업,0,0
50,000810,삼성화재,0,1
51,000815,삼성화재우,0,0
52,000850,화천기공,0,0
53,000860,강남제비스코,0,0
54,000880,한화,0,1
55,000885,한화우,0,0
56,00088K,한화3우B,0,0
57,000890,보해양조,0,0
58,000910,유니온,0,0
59,000950,전방,0,0
60,000970,한국주철관,0,0
61,000990,DB하이텍,0,1
62,000995,DB하이텍1우,0,0
63,001020,페이퍼코리아,0,0
64,001040,CJ,0,1
65,001045,CJ우,0,0
66,001060,JW중외제약,0,1
67,001065,JW중외제약우,0,0
68,001067,JW중외제약2우B,0,0
69,001070,대한방직,0,0
70,001080,만호제강,0,0
71,001120,LG상사,0,1
72,001130,대한제분,0,0
73,001140,국보,0,0
74,001200,유진투자증권,0,0
75,001210,금호전기,0,0
76,001230,동국제강,0,1
77,001250,GS글로벌,0,0
78,001260,남광토건,0,0
79,001270,부국증권,0,0
80,001275,부국증권우,0,0
81,001290,골든브릿지증권,0,0
82,001340,백광산업,0,0
83,001360,삼성제약,0,0
84,001380,SG충방,0,0
85,001390,KG케미칼,0,0
86,001420,태원물산,0,0
87,001430,세아베스틸,0,1
88,001440,대한전선,0,0
89,001450,현대해상,0,1
90,001460,BYC,0,0
91,001465,BYC우,0,0
92,001470,삼부토건,0,0
93,001500,현대차증권,0,0
94,001510,SK증권,0,0
95,001515,SK증권우,0,0
96,001520,동양,0,1
97,001525,동양우,0,0
98,001527,동양2우B,0,0
99,001529,동양3우B,0,0
100,001530,동일방직,0,0
101,001550,조비,0,0
102,001560,제일연마,0,0
103,001570,금양,0,0
104,001620,동국실업,0,0
105,001630,종근당홀딩스,0,0
106,001680,대상,0,1
107,001685,대상우,0,0
108,001720,신영증권,0,0
109,001725,신영증권우,0,0
110,001740,SK네트웍스,0,1
111,001745,SK네트웍스우,0,0
112,001750,한양증권,0,0
113,001755,한양증권우,0,0
114,001770,신화실업,0,0
115,001780,알루코,0,0
116,001790,대한제당,0,0
117,001795,대한제당우,0,0
118,001799,대한제당3우B,0,0
119,001800,오리온홀딩스,0,1
120,001820,삼화콘덴서,0,0
121,001880,삼호,0,0
122,001940,KISCO홀딩스,0,0
123,002000,한국유리,0,0
124,002005,한국유리우,0,0
125,002020,코오롱,0,0
126,002025,코오롱우,0,0
127,002030,아세아,0,0
128,002070,남영비비안,0,0
129,002100,경농,0,0
130,002140,고려산업,0,0
131,002150,도화엔지니어링,0,0
132,002170,삼양통상,0,0
133,002200,수출포장,0,0
134,002210,동성제약,0,0
135,002220,한일철강,0,0
136,002240,고려제강,0,1
137,002250,알보젠코리아,0,0
138,002270,롯데푸드,0,1
139,002300,한국제지,0,0
140,002310,아세아제지,0,0
