종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","61300","-500","-0.81","3.6594767E8"
"373220","LG에너지솔루션","382000","-8500","-2.18","8.9388E7"
"000660","SK하이닉스","100000","-2500","-2.44","7.2800237E7"
"207940","삼성바이오로직스","829000","12000","1.47","5.9003246E7"
"035420","NAVER","250000","-500","-0.20","4.1012271E7"
"005380","현대차","191000","2000","1.06","4.0810624E7"
"051910","LG화학","561000","-8000","-1.41","3.9602304E7"
"006400","삼성SDI","568000","1000","0.18","3.9058253E7"
"000270","기아","80900","-1100","-1.34","3.2793895E7"
"035720","카카오","72100","-1600","-2.17","3.2080772E7"
"068270","셀트리온","179500","-3000","-1.64","2.5267829E7"
"028260","삼성물산","117000","-1000","-0.85","2.1865788E7"
"012330","현대모비스","218500","-1000","-0.46","2.0664221E7"
"005490","POSCO홀딩스","234000","-1000","-0.43","2.0401719E7"
"105560","KB금융","47750","-900","-1.85","1.9689832E7"
"055550","신한지주","35650","-200","-0.56","1.8286102E7"
"096770","SK이노베이션","178500","-4500","-2.46","1.6505103E7"
"034730","SK","214000","-2000","-0.93","1.5867956E7"
"066570","LG전자","93500","-700","-0.74","1.5301071E7"
"323410","카카오뱅크","30900","-400","-1.28","1.4718209E7"
"015760","한국전력","21650","-100","-0.46","1.3898522E7"
"259960","크래프톤","258000","-500","-0.19","1.2660588E7"
"003550","LG","78300","700","0.90","1.2316668E7"
"011200","HMM","24100","-200","-0.82","1.1785852E7"
"032830","삼성생명","59600","0","0.00","1.192E7"
"051900","LG생활건강","723000","1000","0.14","1.1291956E7"
"017670","SK텔레콤","51800","-300","-0.58","1.1335557E7"
"034020","두산에너빌리티","17800","0","0.00","1.1361883E7"
"033780","KT&G","81200","100","0.12","1.1148151E7"
"329180","현대중공업","123000","-500","-0.40","1.0919093E7"
"086790","하나금융지주","36150","-1250","-3.34","1.0696911E7"
"009150","삼성전기","143000","-1500","-1.04","1.0681199E7"
"018260","삼성에스디에스","133500","-500","-0.37","1.0329936E7"
"010950","S-Oil","90300","-3400","-3.63","1.0166226E7"
"302440","SK바이오사이언스","128500","-2000","-1.53","9866750.0"
"030200","KT","37000","-400","-1.07","9661137.0"
"000810","삼성화재","194500","-4000","-2.02","9214406.0"
"003490","대한항공","24950","-400","-1.58","9187105.0"
"003670","포스코케미칼","116000","-2500","-2.11","8985734.0"
"316140","우리금융지주","12050","-150","-1.23","8773130.0"
"377300","카카오페이","65300","-3500","-5.09","8654138.0"
"010130","고려아연","463500","4000","0.87","8746245.0"
"090430","아모레퍼시픽","139500","4000","2.95","8159740.0"
"036570","엔씨소프트","373500","-2500","-0.66","8199827.0"
"011070","LG이노텍","343500","2000","0.59","8129651.0"
"352820","하이브","167000","10000","6.37","6906016.0"
"086280","현대글로비스","182500","-2000","-1.08","6843750.0"
"024110","기업은행","9340","-50","-0.53","6951767.0"
"009830","한화솔루션","33200","0","0.00","6350446.0"
"326030","SK바이오팜","77800","-600","-0.77","6092771.0"
"097950","CJ제일제당","397500","-1000","-0.25","5984039.0"
"251270","넷마블","69900","-1000","-1.41","6008150.0"
"361610","SK아이이테크놀로지","82600","-1900","-2.25","5889181.0"
"009540","한국조선해양","82500","-700","-0.84","5838782.0"
"402340","SK스퀘어","41150","-600","-1.44","5821391.0"
"011170","롯데케미칼","168500","-1500","-0.88","5775408.0"
"034220","LG디스플레이","15350","-200","-1.29","5492471.0"
"018880","한온시스템","10200","-50","-0.49","5444760.0"
"383220","F&F","142000","-1000","-0.70","5439605.0"
"032640","LG유플러스","12150","-200","-1.62","5304828.0"
"035250","강원랜드","24800","-50","-0.20","5305724.0"
"047810","한국항공우주","50800","1600","3.25","4951735.0"
"011790","SKC","132000","2000","1.54","4998615.0"
"010140","삼성중공업","5410","10","0.19","4760800.0"
"021240","코웨이","63900","400","0.63","4715796.0"
"137310","에스디바이오센서","43900","-600","-1.35","4533612.0"
"004020","현대제철","33050","-550","-1.64","4410383.0"
"000720","현대건설","39750","550","1.40","4426392.0"
"000100","유한양행","57800","0","0.00","4232779.0"
"005830","DB손해보험","59500","-1700","-2.78","4212600.0"
"267250","HD현대","53200","200","0.38","4202432.0"
"161390","한국타이어앤테크놀로지","32700","-350","-1.06","4050715.0"
"271560","오리온","100500","-3000","-2.90","3973381.0"
"006800","미래에셋증권","6480","0","0.00","3987250.0"
"000060","메리츠화재","32850","-350","-1.05","3836946.0"
"011780","금호석유","124000","-1000","-0.80","3756685.0"
"028050","삼성엔지니어링","19350","-200","-1.02","3792600.0"
"078930","GS","40150","-650","-1.59","3730552.0"
"128940","한미약품","305000","-1500","-0.49","3756981.0"
"180640","한진칼","57500","-300","-0.52","3838773.0"
"029780","삼성카드","30700","-150","-0.49","3556868.0"
"004990","롯데지주","35300","550","1.58","3703296.0"
"071050","한국금융지주","62500","-500","-0.79","3482875.0"
"010620","현대미포조선","86500","100","0.12","3454996.0"
"003410","쌍용C&E","6390","100","1.59","3219663.0"
"138040","메리츠금융지주","25100","-300","-1.18","3233841.0"
"036460","한국가스공사","35500","-1250","-3.40","3277112.0"
