,index,Date,declining,advancing,dec_vol,adv_vol,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,TRIN,future
0,0,2017-01-02,1647.0,1360.0,1749834825.0,891560000.0,,,,,,,,,0.4828331879631274,
1,1,2017-01-03,742.0,2308.0,761607645.0,2948315942.0,2239.7,2259.0,2239.7,2252.7,16.4,2252.6,5129.0,63489.0,-0.218770513243433,2252.7
2,2,2017-01-04,466.0,2606.0,523494968.0,3158974312.0,2252.7,2267.0,2251.6,2264.5,11.7,2264.3,5904.0,64288.0,-0.07608912748364767,2264.5
3,3,2017-01-05,1661.0,1347.0,2031528150.0,1575714954.0,2264.5,2265.4,2254.0,2264.5,11.7,2264.3,5947.0,62499.0,0.04453925157674602,2264.5
4,4,2017-01-06,1584.0,1427.0,1815159607.0,1383314061.0,2265.3,2276.5,2258.5,2271.5,7.2,2271.5,3695.0,62093.0,0.16731233302380982,2271.5
5,5,2017-01-09,1942.0,1082.0,2270438674.0,897278479.0,2272.0,2274.9,2263.5,2265.1,6.5,2265.0,2704.0,60355.0,0.34345488097703625,2265.1
6,6,2017-01-10,1075.0,1924.0,1441166283.0,2137748128.0,2263.0,2274.0,2260.0,2263.5,1.3,2263.7,2715.0,59194.0,0.18778539682810327,2263.5
7,7,2017-01-11,911.0,2012.0,1250788494.0,2229320535.0,2264.2,2271.3,2255.7,2270.8,6.9,2270.6,1742.0,60296.0,0.2144189353875891,2270.8
8,8,2017-01-12,1793.0,1200.0,2166504650.0,1217247665.0,2268.2,2268.3,2249.0,2263.4,7.2,2263.4,2645.0,60378.0,0.17495417286496615,2263.4
9,9,2017-01-13,1111.0,1855.0,1313921475.0,1690186715.0,2264.5,2273.0,2263.8,2272.7,9.1,2272.5,2301.0,60408.0,0.26080133832384667,2272.7
10,10,2017-01-17,1657.0,1354.0,1849667611.0,1624052281.0,2266.2,2268.4,2257.5,2262.7,9.8,2262.7,3099.0,60348.0,-0.07186404469167977,2262.7
11,11,2017-01-18,1380.0,1616.0,1503681240.0,1655671100.0,2263.2,2268.3,2259.0,2267.0,3.9,2266.6,2075.0,60552.0,0.06158029737914724,2267.0
12,12,2017-01-19,2226.0,772.0,2138654280.0,924481693.0,2266.0,2269.3,2253.5,2261.7,5.0,2261.6,5771.0,60806.0,-0.2202781612957704,2261.7
13,13,2017-01-20,1064.0,1891.0,1117121007.0,2290364063.0,2261.9,2272.2,2260.0,2265.8,4.3,2265.9,6884.0,61920.0,-0.1428855392901443,2265.8
14,14,2017-01-23,1357.0,1628.0,1833426059.0,1213480100.0,2262.3,2267.0,2252.0,2262.1,3.9,2262.0,3349.0,63638.0,0.594769919451546,2262.1
15,15,2017-01-24,793.0,2234.0,952682575.0,2814348661.0,2260.8,2280.0,2259.7,2275.0,12.6,2274.6,8199.0,62737.0,-0.047478605856467626,2275.0
16,16,2017-01-25,1080.0,1947.0,1106447029.0,2527801531.0,2276.9,2295.2,2275.6,2294.3,19.3,2293.9,3755.0,63561.0,-0.23686727284990725,2294.3
17,17,2017-01-26,1558.0,1441.0,2130080325.0,1389076948.0,2292.7,2298.8,2289.8,2294.0,0.2,2294.1,3437.0,63792.0,0.3494545994807791,2294.0
18,18,2017-01-27,1700.0,1285.0,1831895424.0,1221005438.0,2292.1,2296.5,2287.5,2289.3,5.0,2289.1,4146.0,64465.0,0.1258070000931207,2289.3
19,19,2017-01-30,2115.0,914.0,2794078894.0,739999109.0,2283.1,2285.3,2264.0,2275.8,13.1,2276.0,1798.0,62364.0,0.4896292741848797,2275.8
20,20,2017-01-31,1096.0,1888.0,1852818389.0,2143642073.0,2276.0,2277.5,2262.5,2275.3,1.5,2274.5,2873.0,62476.0,0.398052526814688,2275.3
21,21,2017-02-01,1536.0,1442.0,2143500513.0,1667539253.0,2276.0,2285.0,2268.5,2274.8,1.5,2274.5,2420.0,66436.0,0.18794061196078002,2274.8
22,22,2017-02-02,1343.0,1648.0,1642407388.0,2036346965.0,2270.7,2279.5,2264.6,2275.0,0.9,2275.4,4038.0,65537.0,-0.01033790024492755,2275.0
23,23,2017-02-03,645.0,2378.0,787800148.0,2724167690.0,2273.5,2293.7,2271.3,2291.2,15.6,2291.0,4668.0,65705.0,0.0640909732764515,2291.2
24,24,2017-02-06,1844.0,1167.0,2028718853.0,1015407718.0,2290.9,2294.0,2284.0,2286.7,4.5,2286.5,4142.0,65826.0,0.23461349064766485,2286.7
25,25,2017-02-07,1613.0,1373.0,2189328239.0,1154337001.0,2286.0,2294.7,2284.5,2288.5,1.9,2288.4,4849.0,65892.0,0.4789709301840868,2288.5
26,26,2017-02-08,1305.0,1681.0,1519337258.0,1992732313.0,2285.0,2292.0,2281.5,2290.3,1.8,2290.2,2514.0,68191.0,-0.018046679657814087,2290.3
27,27,2017-02-09,1028.0,1968.0,1079305215.0,2499224816.0,2290.7,2307.5,2288.3,2304.5,14.1,2304.3,2827.0,68270.0,-0.19026046392136903,2304.5
28,28,2017-02-10,858.0,2150.0,1088502398.0,2304915104.0,2304.0,2315.8,2303.5,2312.7,8.4,2312.7,3171.0,69287.0,0.16837798182159688,2312.7
29,29,2017-02-13,1209.0,1788.0,1023105810.0,2247839335.0,2316.0,2328.5,2313.8,2326.5,13.6,2326.3,1716.0,69866.0,-0.3958224414570246,2326.5
30,30,2017-02-14,1424.0,1574.0,1198724090.0,2227641044.0,2325.5,2337.5,2320.0,2337.5,10.7,2337.0,3943.0,70331.0,-0.5195351279687143,2337.5
31,31,2017-02-15,1245.0,1761.0,1364055366.0,2234357972.0,2335.8,2351.0,2331.7,2350.5,13.4,2350.4,2575.0,70224.0,-0.1467454768441484,2350.5
32,32,2017-02-16,1712.0,1292.0,2247981392.0,1234913283.0,2348.5,2349.4,2337.0,2345.5,4.8,2345.6,2942.0,70881.0,0.3175610306376378,2345.5
