날짜,고객예탁금,,신용잔고,,펀드,,,,,
,,,,,주식형,,혼합형,,채권형,
24.09.13,"514,007","2,476","169,219",91,"1,157,052","1,248","286,527",604,"1,723,768","3,485"
24.09.12,"511,531","8,402","169,128",167,"1,155,804","15,700","285,923",774,"1,720,283","1,599"
24.09.11,"519,933","4,989","168,960",875,"1,140,104",324,"285,149",36,"1,721,882","2,575"
24.09.10,"514,943","2,345","169,835","2,453","1,139,780","2,062","285,185",123,"1,719,307",954
24.09.09,"512,598","1,928","172,288","3,209","1,137,718","5,503","285,062",76,"1,718,353","1,773"
24.09.06,"514,526","19,288","175,497","2,124","1,143,221","9,183","285,138",168,"1,716,580","2,490"
24.09.05,"533,814","1,402","177,622",54,"1,152,404","4,437","285,306",945,"1,714,090","1,036"
24.09.04,"532,412","18,140","177,676",561,"1,156,841","26,268","284,361",424,"1,713,054","2,953"
24.09.03,"514,272","6,238","177,114",526,"1,183,109","2,434","284,785",167,"1,710,101","1,624"
24.09.02,"520,510",783,"177,641",244,"1,185,543","7,582","284,618",139,"1,708,477","2,068"
24.08.30,"521,293","9,312","177,397",153,"1,177,961","2,775","284,479",235,"1,706,409",508
24.08.29,"530,605","1,908","177,244",185,"1,175,186","6,995","284,244",30,"1,705,901","1,743"
24.08.28,"532,514","4,781","177,058",351,"1,182,181","3,802","284,214",282,"1,707,644",244
24.08.27,"537,295","3,126","176,707",164,"1,178,379","2,757","283,932",437,"1,707,400","1,896"
24.08.26,"534,169","8,309","176,871",152,"1,181,136",360,"283,495",271,"1,705,504",633
24.08.23,"525,859","9,194","177,023","1,018","1,180,776","3,546","283,224",203,"1,706,137","2,193"
24.08.22,"535,053",26,"176,005",646,"1,184,322","2,929","283,427",208,"1,703,944","2,753"
24.08.21,"535,079","1,869","175,359",744,"1,181,393","1,121","283,219",18,"1,701,191","1,687"
24.08.20,"533,210","7,328","174,615",245,"1,182,514","9,672","283,237",763,"1,699,504","1,654"
24.08.19,"525,882","13,493","174,860",81,"1,172,842","8,046","282,474","1,477","1,697,850","1,899"
24.08.16,"539,375","7,911","174,941",628,"1,180,888","16,309","280,997",326,"1,695,951","3,212"
24.08.14,"531,464","6,695","174,313",697,"1,164,579","10,112","280,671",282,"1,692,739","2,703"
24.08.13,"538,159","8,018","173,616","1,106","1,154,467","2,103","280,389",251,"1,690,036","2,358"
24.08.12,"530,142","8,638","172,510","1,641","1,152,364","7,915","280,138",183,"1,687,678",84
24.08.09,"538,780","12,438","170,869",771,"1,144,449","17,394","279,955","1,419","1,687,762","4,943"
24.08.08,"551,217","14,621","170,099","5,920","1,127,055","8,252","278,536",83,"1,682,819","1,787"
24.08.07,"565,838","23,780","176,018","13,319","1,135,307","6,919","278,453",247,"1,681,032","2,974"
24.08.06,"589,618","5,258","189,338","2,526","1,128,388","4,982","278,700",2,"1,684,006",599
24.08.05,"594,876","56,197","191,864","1,298","1,123,406","40,282","278,702",80,"1,684,605","7,820"
24.08.02,"538,679","7,913","193,161",894,"1,163,688","22,496","278,782",141,"1,676,785","5,403"
,,,,,,,,,,
24.08.01,"546,592","3,598","194,055",807,"1,186,184","7,250","278,923",294,"1,671,382","5,858"
24.07.31,"542,994","7,127","193,248",258,"1,178,934",683,"278,629",302,"1,665,524",643
24.07.30,"550,121","9,390","193,506","1,289","1,179,617","2,982","278,327",448,"1,664,881","1,912"
24.07.29,"540,731","13,916","194,795","1,978","1,182,599","9,824","278,775",291,"1,662,969","2,987"
24.07.26,"554,647","9,286","196,774",125,"1,172,775",283,"278,484",406,"1,659,982","3,171"
24.07.25,"563,933","15,171","196,899","1,174","1,173,058","16,364","278,078",101,"1,656,811","1,602"
24.07.24,"548,762","6,557","198,073",485,"1,189,422","2,769","278,179",220,"1,655,209",420
24.07.23,"555,319","5,727","198,558",90,"1,192,191","4,581","277,959",185,"1,655,629","1,853"
24.07.22,"561,047","2,443","198,468","1,347","1,187,610","7,989","278,144",134,"1,653,776","29,671"
24.07.19,"558,603","15,511","199,816",668,"1,195,599","1,726","278,010",363,"1,624,105","40,803"
24.07.18,"574,114","10,705","200,484",333,"1,197,325","5,835","277,647",154,"1,583,302","1,422"
24.07.17,"563,409","5,664","200,817",437,"1,203,160","2,031","277,801","1,002","1,581,880","3,815"
24.07.16,"569,073","9,699","200,379",383,"1,205,191","1,944","276,799",206,"1,578,065",277
24.07.15,"578,772","13,307","200,762",351,"1,203,247","2,911","277,005",488,"1,578,342","3,470"
24.07.12,"565,465","6,846","200,410","1,075","1,200,336","10,536","276,517",281,"1,574,872","5,227"
24.07.11,"572,311","10,623","199,336","1,210","1,210,872","5,558","276,798",208,"1,569,645","1,228"
24.07.10,"561,689","4,337","198,126",479,"1,205,314",423,"276,590",434,"1,568,417","3,105"
24.07.09,"566,026","9,983","197,647",71,"1,205,737","3,414","277,024",438,"1,565,312","2,822"
24.07.08,"556,043","17,494","197,718",128,"1,202,323","6,220","276,586",796,"1,562,490","2,133"
24.07.05,"538,549","8,100","197,590",913,"1,196,103","7,721","275,790",301,"1,560,357","1,506"
,,,,,,,,,,
24.07.04,"530,449","13,541","198,503",593,"1,188,382","5,986","275,489",201,"1,558,851","5,047"
24.07.03,"543,990","17,601","199,096",23,"1,182,396","5,957","275,288",849,"1,553,804","2,476"
24.07.02,"561,591","21,515","199,119",555,"1,176,439",52,"274,439",473,"1,551,328","4,135"
24.07.01,"583,105","18,018","199,674",298,"1,176,387","2,184","273,966",68,"1,547,193","3,677"
24.06.28,"565,087",664,"199,972",218,"1,174,203","1,879","274,034","1,452","1,543,516","3,800"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.06.27,"564,422","13,467","199,754",939,"1,172,324","2,670","272,582",186,"1,539,716","2,302"
24.06.26,"550,955","8,769","200,694",509,"1,169,654","7,495","272,396",529,"1,542,018","2,692"
24.06.25,"559,725",117,"201,203",102,"1,162,159",990,"271,867",69,"1,544,710",294
24.06.24,"559,608","7,225","201,305",812,"1,161,169","3,005","271,936",281,"1,545,004","2,615"
24.06.21,"552,383","3,525","200,493",463,"1,164,174","1,812","272,217",149,"1,542,389","2,242"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.06.20,"548,858",858,"200,956",335,"1,165,986","5,243","272,366",241,"1,544,631",211
24.06.19,"548,000","9,806","201,290",451,"1,160,743","11,975","272,125",490,"1,544,420","4,468"
24.06.18,"557,806",814,"200,839",211,"1,148,768","1,485","272,615",334,"1,539,952","3,842"
24.06.17,"556,991","10,109","200,628",857,"1,147,283","1,770","272,281",88,"1,536,110",341
24.06.14,"546,883","9,052","199,771",343,"1,149,053","1,983","272,193",187,"1,535,769","2,383"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.06.13,"555,935","14,923","200,114","1,276","1,147,070","4,943","272,006",134,"1,533,386","1,397"
24.06.12,"541,011","1,157","198,838","2,164","1,142,127","3,170","271,872",12,"1,531,989","5,144"
24.06.11,"542,169",879,"196,673",509,"1,145,297",752,"271,860",241,"1,526,845",645
24.06.10,"541,289","8,625","196,165",22,"1,146,049","3,435","271,619",114,"1,526,200",859
24.06.07,"532,664","1,260","196,187",630,"1,149,484","10,929","271,505","1,980","1,527,059","13,512"
,,,,,,,,,,
24.06.05,"533,924","4,238","195,557",151,"1,138,555","6,703","269,525",323,"1,540,571","3,358"
24.06.04,"529,686","12,446","195,707",598,"1,131,852",515,"269,202",245,"1,537,213","2,026"
24.06.03,"542,132","1,832","196,305",728,"1,131,337","4,979","268,957",81,"1,535,187","2,940"
24.05.31,"543,964","20,137","197,034",545,"1,126,358",377,"269,038",675,"1,532,247","1,888"
24.05.30,"564,101","12,627","196,488","1,231","1,125,981","6,774","268,363",420,"1,530,359","1,843"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.05.29,"551,474","11,224","195,258",182,"1,132,755","2,672","267,943",25,"1,532,202",767
24.05.28,"562,698","5,782","195,075",240,"1,135,427","1,482","267,968",473,"1,532,969","1,646"
24.05.27,"568,481","14,072","194,835",648,"1,136,909","6,612","267,495",415,"1,531,323","1,180"
24.05.24,"554,409","2,228","194,187",385,"1,130,297","4,941","267,080",393,"1,532,503",656
24.05.23,"556,636","7,817","193,802",497,"1,135,238",44,"266,687",159,"1,531,847",466
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.05.22,"548,820","5,410","193,306",331,"1,135,282","2,345","266,528",209,"1,532,313","2,809"
24.05.21,"554,229","7,465","193,636",294,"1,132,937",428,"266,737",192,"1,529,504","1,422"
24.05.20,"561,694","5,131","193,342",477,"1,133,365","4,722","266,545",645,"1,528,082","6,529"
24.05.17,"556,564","5,792","192,865",51,"1,128,643","3,393","265,900",240,"1,521,553","3,694"
24.05.16,"562,355","8,416","192,915",186,"1,132,036","4,848","265,660",266,"1,517,859","2,985"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.05.14,"553,939",463,"192,729",317,"1,127,188","2,522","265,394",238,"1,514,874","1,633"
24.05.13,"553,476","3,024","193,046","1,491","1,124,666",646,"265,156",91,"1,513,241",918
24.05.10,"556,500",151,"191,555",733,"1,125,312","3,749","265,065",74,"1,512,323","2,472"
24.05.09,"556,651","15,562","190,822",761,"1,121,563","2,346","265,139",146,"1,509,851",71
24.05.08,"541,089","13,732","191,584",5,"1,123,909","1,606","265,285",325,"1,509,780",742
,,,,,,,,,,
24.05.07,"554,821","4,629","191,578",709,"1,122,303","15,791","264,960",303,"1,509,038","5,177"
24.05.03,"559,450","28,459","190,869",446,"1,106,512",481,"264,657",201,"1,503,861","3,326"
24.05.02,"587,908","15,602","190,423",207,"1,106,031","6,299","264,456",404,"1,500,535","3,482"
24.04.30,"572,306","4,435","190,630",108,"1,112,330","3,605","264,052",38,"1,497,053","6,971"
24.04.29,"567,872","2,770","190,739","1,246","1,108,725","9,029","264,014",500,"1,490,082","3,934"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.04.26,"565,102","8,389","189,493",27,"1,099,696","8,056","263,514",482,"1,486,148",29
24.04.25,"556,713","9,753","189,466",726,"1,091,640","3,981","263,032",85,"1,486,119","1,956"
24.04.24,"546,960","11,693","188,740",410,"1,095,621","12,496","262,947",146,"1,484,163","2,972"
24.04.23,"558,653","7,143","189,150",22,"1,083,125","2,099","262,801",88,"1,481,191","3,218"
24.04.22,"565,797","11,043","189,128",230,"1,085,224","1,838","262,713",68,"1,477,973","2,100"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.04.19,"554,754","4,154","189,358","1,190","1,083,386","5,045","262,645",666,"1,475,873","3,333"
24.04.18,"550,600","2,090","190,548","2,292","1,088,431","1,956","261,979",308,"1,472,540",41
24.04.17,"552,690","23,278","192,839",651,"1,086,475","6,456","261,671",39,"1,472,499",895
24.04.16,"575,969","9,287","192,188",684,"1,092,931","13,130","261,632",404,"1,471,604","4,066"
24.04.15,"566,682","17,329","191,505",337,"1,106,061","7,057","261,228",868,"1,467,538","2,394"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.04.12,"549,353","4,502","191,842",446,"1,113,118","2,412","260,360",269,"1,465,144",108
24.04.11,"553,855","3,616","192,287",897,"1,110,706","2,642","260,091","1,282","1,465,252",60
24.04.09,"550,239","9,094","193,185",39,"1,108,064",432,"258,809",337,"1,465,312","3,175"
24.04.08,"559,333","14,904","193,223",197,"1,108,496","3,176","258,472",159,"1,462,137",15
24.04.05,"544,430","20,475","193,421",306,"1,105,320","10,696","258,313",579,"1,462,122","1,844"
,,,,,,,,,,
24.04.04,"564,905","5,570","193,727",143,"1,116,016","6,773","257,734",214,"1,460,278","5,027"
24.04.03,"570,475","3,752","193,870",101,"1,109,243","13,239","257,520",135,"1,455,251",25
24.04.02,"574,227","22,072","193,971",40,"1,122,482","2,247","257,385",218,"1,455,226",384
24.04.01,"596,299","31,070","193,931",564,"1,120,235","1,099","257,167",356,"1,455,610","8,919"
24.03.29,"565,229","4,791","193,367",54,"1,121,334","1,930","256,811","2,233","1,446,691",678
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.03.28,"560,438","7,209","193,422",154,"1,119,404","2,318","254,578",387,"1,446,013","3,595"
24.03.27,"553,230","1,323","193,268",782,"1,117,086",973,"254,191",471,"1,449,608",756
24.03.26,"551,906",709,"192,485",320,"1,116,113","1,042","253,720",81,"1,448,852",545
24.03.25,"552,615","32,545","192,166","1,318","1,115,071","5,584","253,639",277,"1,448,307","2,228"
24.03.22,"520,070","6,286","193,483",312,"1,109,487","6,380","253,362",129,"1,446,079","5,302"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.03.21,"526,355","2,105","193,796","1,250","1,103,107","7,653","253,233",97,"1,440,777","1,840"
24.03.20,"528,461","10,941","192,546",770,"1,095,454","5,088","253,136",675,"1,438,937","1,116"
24.03.19,"517,520","13,602","191,776",863,"1,090,366","1,181","252,461",417,"1,437,821",223
24.03.18,"531,122","2,540","190,914",574,"1,091,547","4,713","252,878",676,"1,437,598","2,722"
24.03.15,"533,662","1,162","190,340","1,320","1,086,834","7,611","252,202",175,"1,434,876","2,290"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.03.14,"534,824","4,851","189,020",929,"1,094,445","1,933","252,377",485,"1,432,586","3,531"
24.03.13,"529,973","8,849","188,092",972,"1,092,512","3,410","251,892",96,"1,429,055",609
24.03.12,"538,822","5,387","187,120",820,"1,089,102","7,634","251,796",196,"1,428,446","1,092"
24.03.11,"533,436","8,376","187,939",735,"1,081,468","6,582","251,600",6,"1,427,354","1,104"
24.03.08,"525,060","15,622","187,204","1,195","1,088,050","7,270","251,606",395,"1,428,458","15,439"
,,,,,,,,,,
24.03.07,"540,683","8,227","186,009","1,627","1,080,780","2,508","251,211",157,"1,443,897","1,730"
24.03.06,"548,909","1,321","184,382",250,"1,078,272","6,463","251,054",408,"1,445,627","1,576"
24.03.05,"550,230","28,622","184,132",712,"1,084,735","5,047","250,646",68,"1,444,051","1,069"
24.03.04,"578,852","35,496","183,420",524,"1,089,782","12,752","250,578",5,"1,442,982",112
24.02.29,"543,356","5,328","183,944",911,"1,077,030",104,"250,573","1,762","1,442,870","1,849"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.02.28,"548,684","11,431","184,855",134,"1,076,926","5,120","248,811",145,"1,444,719","6,024"
24.02.27,"560,115","13,881","184,721",600,"1,071,806","3,848","248,666",247,"1,450,743","1,328"
24.02.26,"546,234","12,027","184,121","1,090","1,075,654","1,387","248,419",56,"1,449,415","1,189"
24.02.23,"534,207","2,058","183,031",547,"1,077,041","5,343","248,363",508,"1,448,226","1,132"
24.02.22,"536,264","5,291","182,484",857,"1,071,698",3,"247,855",447,"1,449,358","1,812"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.02.21,"541,556","3,398","181,627",902,"1,071,695",931,"247,408",112,"1,447,546","2,121"
24.02.20,"538,157","2,090","180,725",678,"1,072,626","2,799","247,296",248,"1,445,425","1,871"
24.02.19,"540,247",966,"180,047","1,793","1,075,425","2,792","247,048",421,"1,443,554","1,542"
24.02.16,"539,281","3,586","178,253","1,627","1,072,633","3,406","246,627",506,"1,442,012","1,503"
24.02.15,"535,695","4,100","176,626",303,"1,069,227",400,"247,133",146,"1,443,515","1,567"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.02.14,"531,595","1,840","176,322",242,"1,069,627","2,683","246,987","1,277","1,441,948","3,479"
24.02.13,"529,755","21,353","176,564",445,"1,072,310","8,540","245,710",49,"1,438,469","2,989"
24.02.08,"508,402","8,219","177,009",129,"1,063,770","6,684","245,661",365,"1,435,480",951
24.02.07,"516,621","12,327","177,138","2,687","1,057,086","5,090","245,296",43,"1,436,431","2,315"
24.02.06,"528,949","20,542","174,450",545,"1,051,996","1,660","245,253",477,"1,434,116","5,152"
,,,,,,,,,,
24.02.05,"508,406",166,"174,996",707,"1,053,656",372,"244,776",274,"1,428,964","6,338"
24.02.02,"508,240","12,237","175,703",500,"1,053,284","12,625","244,502",266,"1,422,626","7,042"
24.02.01,"520,476","13,042","176,203",727,"1,040,659","6,498","244,236","1,023","1,415,584","1,125"
24.01.31,"507,434","4,900","176,930",3,"1,034,161","1,299","243,213",569,"1,414,459","2,202"
24.01.30,"512,334","9,707","176,932",645,"1,032,862",444,"242,644",486,"1,412,257","4,457"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.01.29,"522,041","31,392","177,577",864,"1,032,418","2,495","242,158",256,"1,407,800","2,479"
24.01.26,"490,649","14,380","176,713",731,"1,029,923","2,763","241,902",237,"1,405,321","2,019"
24.01.25,"505,030","7,226","177,444",376,"1,027,160","1,640","241,665",801,"1,403,302",744
24.01.24,"497,804","5,897","177,820",576,"1,025,520",124,"240,864",508,"1,402,558","19,298"
24.01.23,"503,700",778,"178,396","1,087","1,025,396","1,700","240,356",82,"1,383,260","2,519"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
24.01.22,"502,923","7,321","179,483","1,363","1,023,696",972,"240,274",15,"1,380,741",942
24.01.19,"495,601","5,009","180,847","1,025","1,022,724","7,039","240,259",157,"1,379,799",823
24.01.18,"490,592","9,279","181,872",38,"1,015,685",45,"240,102",94,"1,378,976",375
24.01.17,"499,871","3,815","181,909",626,"1,015,730","8,361","240,196",49,"1,378,601",752
